OrgNr;FirmaNavn
Gratanglaks AS;988365777
Strandveien Senter AS;984453035
Hoppensprett Narvik AS;914455456
Imtas Eiendom AS;987705507
PowerOffice Demo;980386465
Narvik Marina AS;997475976
Bodø Windsurfing;913779509
Brendebakken Verk AS;986662391
TELTPROFFEN AS;998536324
Aider system;922633452
MM Prosjekt AS;914778824
Tid og Penger AS;989130846
Johnsen bygg og utleie;996025349
Fremmersvik AS;912315282
Narvik Bygg AS;919807784
Aspia Nord  AS;920565395
Indira AS;912270440
Salten Sportsflyklubb;893934162
Eiendom Nord AS;914624649
Rogaland Sjø AS;914087309
Askvig AS;986859861
Askvig Eiendom AS;991507299
Rovi AS;989215442
Finnøy Fisk AS;944663002
Fisterkaien AS;988397725
Randøy Feriepark AS;989675982
Fister Smolt AS;981979583
BO BYGG AS;883692012
Kvit Vinter AS;992534176
Fjordglytt AS;992094893
FATLAND KRAFT AS;999330061
Sigv Tomstad AS;916802048
Vighedlå AS;886995482
Eventus Sandvika ANS;985188076
Konkurs Tom Larsen Transport AS;813083272
Dama Di AS;997660153
Tm Invest AS;962296726
Elvegård Fjordcamp, Tony Griff Pettersen;995285207
Arntsen Maskinstasjon AS;860671492
Ingolf Thune AS;931016091
Narvik Svømmeklubb;983976883
Krafftwork Erik N. H. Krafft;981883179
Snekkermester Viggo Remman AS;930455393
John Jakobsen Transport AS;984101953
Småbergan AS;886972512
Boligsameiet Bergensveien 4;975506932
Kol Transport AS;882574512
Wolden Maskin AS;989077279
Origo Management AS;998421071
Amark Eiendom AS;986436510
Skarvenesveien 6 AS;890591272
GH Maskin & Marineservice AS;989810731
Fagerhaug Maskin AS;913871979
Kb Management AS;988336106
Økonomi og Regnskapspartner AS;984127448
Millejordnes AS;857043022
Lynne Publishing AS;995737698
Grunn og Betong Entreprenør AS;914473152
Green Adventure AS;899312252
Forlaget 67N Rolf Liland;986006869
Direkte Regnskap AS;998628083
Jke Narvik AS;995864304
Moment Bolig AS;912828719
EKSTERN REGNSKAP AS;966313404
Espen Eriksen Transport;924400676
Lindahl Eiendommer AS;964532753
Harder AS;996250881
Harder Eiendom AS ;929199596
Opplyst;914917573
Resultat AS;898316572
KLUBBHOLMEN 6C AS;996043452
HS Kobber og Blikkenslager AS;992401079
Lindahl Bolig I AS;914315204
ØkoRåd NordSalten AS;993614882
Lindahl Bolig II AS;914315263
FOTOGRAF KAROLINE O.A.PETTERSEN AS ;911810271
Helnessund Brygger AS;995928647
WKN AS;916498136
STIAN STEFFENSEN AS;815143272
Hardwoods AS;912107574
Aurora Design & Media AS;992864281
Maestro - Testklient;848072222
Freding Transport AS;976470265
Birgers Oljeselskap AS;989158953
Odd Lundberg AS;992093382
Østerdalen Golfbane AS;992508949
by north as;911698420
Emonkey AS;912899586
Warmup Produksjon;980386465
Vaxa Property AS;913663837
By1bil AS;811573582
Forsikring Helgeland AS;913172817
Waag Produksjoner AS;813322072
Arctic Media Expo AS;914092051
Supertune AS;915294626
Heiditt AS;915248039
Amundsen Rør AS;913018486
Fell Technology AS;912282554
KBI Financial Management AS;915104495
Senzu Frisør AS;915338259
SHS Eiendom AS;986551999
Oslo Bygg- og Håndverkservice v/ Jess Møller;915131794
Sparebank 1 Regnskapshuset Nord-Norge AS Avd Leknes;932713985
Sparebank 1 Regnskapshuset Nord-Norge AS Avd Svolvær;982384079
Mobile Demo Client;397436403
Boligservice Narvik AS;987902736
A Markussen Holding AS;988591637
Jarnes Møbler AS;976096215
Øyjord Ridehall AS;912784037
Equie Consulting Sissel Bjørklund;986516689
ZooExpressen AS;915018238
Modell Hobby AS;915125948
Sparebank 1 Regnskapshuset Nord-Norge AS Avd Administrasjon;914948142
MoHo AS;923435271
Spektor Advokat AS;914735084
North Wine & Spirits AS;912326497
AIDER ACCOUNTING AS AVD BERGEN(F);980866351
EA Bygg & Betong AS GAMMEL VERSJON;915555594
Jaklamyra Barnehage SA;958027028
Beisfjord Vannverk SA;970235760
Viktor Berg Transport AS;970890696
Foldvik Bryggeferie AS;988413356
Stigma Salg og Tjenester AS;993168262
Trafikkskola Start AS;915662757
Din Gartner-Kawa AS;913752058
Mee AS;912185001
Emptum AS;914150132
Lunt Hus AS;936066798
Sisomar AS;987520507
SDG TBWA AS;994235729
Maestro Demo;980386465
Serversky AS;995748711
NEON Tattoo Studio AS;981894197
Hanne E Lynne;976221079
Am Bygg AS;989557580
Nord Norsk Spedisjon AS;948155184
Bio Drift AS;915664466
Clarify AS;915717888
Tandem AS;947857169
JEK Regnskap AS;967708933
Halsteinslid AS;925808571
Brødrene Stormo AS;913981960
Statsautorisert revisor Jens Arne Hagen;862655222
Åfjord Utvikling AS;996160394
Fryd Frisør AS;995992345
Kursjentene AS;919732873
Tellus Trading AS;815822102
Anleggsservice AS;985394717
Unge Kunstneres Samfund;940426987
Ever Trondheim AS;994056689
Sørby Gartneri AS;986442715
Vest-Telemark Rekneskapsservice AS;943785805
Odal Økonomi AS;981241150
Mamen Hans Torer (Dødsbo);969239612
Echas Revisjon AS;980906965
Premio AS;987628065
Saltenposten AS;976431189
Rømby AS;891324472
Enimente AS;952617443
Ny Musikk;971435216
Det Andre Teatret AS;995967758
Taran AS;988791369
Bedre Økonomitjenester AS;911648733
Nico Håndverk Malermester Sten Yttervik AS;957771823
iProsess AS;816073502
Jrp Distribusjon AS;997291212
Møretrapp AS;890419062
GTM AS;916573065
Lyngheia barnehage AS;960896998
DIBkunnskap AS;974379511
Skarsem Arild;959264848
Byggmester Liljebakk AS;989996223
Royal Optikk Narvik Storsenter;980651169
Askeladden barnehage Sa;994298275
Pumpa AS;915289452
Åfjordskroa Dijam AS;916122160
Nettlønn AS - integrasjonstest;995221608
Norgesregnskap - Viken Økonomi AS;926067303
DiNord Eiendom AS;916056281
Alven Dame og Herrefrisør AS;995377969
Astafjord Industrier AS;912428532
Futurum AS;974645130
Hålogaland Brønn- og Energiboring AS;999057888
Merk-Kjeden AS;990040907
Møre Rør AS;912403602
Malmklumpen barnehage SA;971482435
Kp Service Nord AS;916027699
Malermester Vinterstad AS;912548686
Narvik Kapital AS;987416874
Solbes AS;997869273
NORDSALTEN AVIS AS;977097347
Sivertsen Trebygg AS;912185613
N Bygg AS;916158432
Arctic Spill Control AS;990310513
Ascas Miljø AS;966376724
JAA Eiendom AS;916047622
iTide Økonomi AS(F);945988924
Strandgata Eiendom AS;971048891
Askvik Aqua AS;915107656
Verified AS;914397111
Signe Greivstad AS;916185405
Nivo AS;961517575
Bergsprengeren AS;914856051
Oslo Politis Pensjonistforening;984404662
Altieik AS;988561835
Din Byggpartner AS;912797589
Economica AS;811903922
INDUSTRISTÅL AS;816235502
Småloppene AS;916215215
Catwalk AS;929408039
Folki AS;929794729
Udelt AS;932925982
Ramberg  Byggevarer AS;979775571
Fyresdal Næringshage AS;912872122
Sigvart Asle Lie;917855056
Hurd Økonomi & Regnskap AS;976861213
Probus AS;971155450
Bjørns Bil AS;916094051
Fram Kino;951869880
Arena Drift AS;990078424
Narvik Rideskole Skjomen AS;981470850
Vestfold Truckservice AS;915991262
Network Broking AS;979924720
STS-Surface Treatment Systems AS;929551265
AppLetify AS;916283776
Aktivapluss AS;987770384
Lyn Regnskap AS;999150985
Din Regnskapsfører AS;989957422
Nesttun Blomster AS;982848547
N.K.S. Kløveråsen AS;993253375
Økoråd Hadsel AS;987447702
Admit AS;939611908
Jansson & Larsen Regnskap AS;979713894
Degree -Test API;997626079
Ikke i bruk;000000000
Maestro Integrasjon;980386465
Ulvsvåg Eiendom AS;915498892
Tøyen Sportsklubb;915703534
Undo AS;916346220
Narvik Hestesportsenter Skjomen AS;981563794
Strandgata 30 Eiendom Sortland AS;989410164
Ide Møbler Bodø AS;992890002
Mariela Frisør AS;995682621
Stylist-X AS;994251104
Graf a.s;977558093
Cfo Regnskap AS;916078161
Den4dogs AS;988784710
Novatek AS;973199730
Arena Bygg AS;990078408
Seasmart AS;915329969
Solum Bokvennen AS;926091980
Bokvennen Forlag AS;968921746
Vidarforlaget AS;964115176
Transit AS;941139876
Økoråd Leknes;983041809
Varanger Regnskap AS under avvikling;997066782
Yrkeslitteratur AS;935490650
Gaidaros Forlag AS;980584380
Gratangen Mekaniske Industri AS;931454382
Trafikkjentene AS;919679573
Runa Welle Gravferd, Dekoratør og Tjenester;970509518
Degree Holding Group AS;997604296
Filemail AS;893823972
Økoråd Øksnes AS;988259977
Fn Eigedom AS;912079007
APTO AS;979473141
Grefsen AS;939532595
Bærum Næringsråd;971259582
Vesterålen Varmepumper AS;893509992
Høydepunkt Arrangementsservice AS;953686295
SKÅNLAND STALL OG RIDEKLUBB;971402423
Nordlandsmat AS;995256673
Fosenterminalen Bessaker AS;915467970
Bærum Regnskap AS;992797576
Nordic Naturals AS;988939757
Ballstadøy AS;921091087
Hjørnekiosken Eiendommer AS;965630201
Melbu Folkebad SA;996768910
Dp Øya Eiendom AS;916242360
Sonja Blomster AS;980562484
Parken Blomster AS;916276273
Balloonburger AS;993624268
Nitschke & Borgting Økonomibyrå AS(F);962077447
Stiftelsen Kunstnernes Hus;971437286
Something From Nothing;916481063
Maurtua Private Barnehage AS;995257610
Nilsen Revisjon;911873095
Hemek AS;989289292
Kulta Invest AS;989158953
Transport Service Nordland As;984353693
Kringla AS;998835909
Eidcon Økonomi AS;997844475
ADB-Senteret A/S;938683913
Pekama AS;989194380
Motus AS;969078082
Byggmester Svenn Liljebakk;970321160
EconPartner AS;831087692
Egil Byggtjeneste AS;998053013
Blichfeldt Tangen Fjeld Målgruppeinnsikt AS;997278356
Oddbjørn Ullestad;983821057
Frap Eiendom AS;994679708
Grant Thornton Økonomiservice AS;946063940
Kallesten Revisjon og Regnskap AS;951499072
JM Bilsalg Nybråten;954680541
Frajo AS;996251837
V1 Invest AS;912206599
Fiskehallen Drift AS;988067687
Nerdrums Opmaaling AS;914549760
Envision IT AS;982396778
BOSSMO & YTTEREN IL;971577061
IL Stålkameratene;970306161
Avant;814531082
Øyvind Helge Førre;969809834
Nåden Invest AS;989021214
Steffensen Maskin & Transport;965630767
Stiftelsen Narviksenteret;994617834
Stiftelsen Nybo;948195003
Lystpå AS;991091025
Bioselect Norge AS;913251563
Salt Lofoten AS;995605406
Isos Eiendom AS;990390886
Rs1 Bygg AS;913459253
Starworks AS;998320399
TEST DB;912899586
Clarify Holding AS;983200532
Norwegian Adventure Company AS;991941495
Kontor Renhold AS;983592945
Konkylien AS;920533248
Steigen Vertshus As;991921494
Atlanterprodukter AS;968651242
Incube AS;999114954
Ofoten Takst AS;957701752
Ditt Tiltak AS;985448663
Fosen Trafikkskole AS;924993464
Lofothavn AS;984036949
Narviking AS;880589652
Harstad og Omland Bilberging AS;980397378
Optituning AS;897380552
Kato Anlegg AS;895435392
Capient AS - gammel klient;988350362
AS Claus Riis Gate 6;913537521
Peritus Invest AS;914949181
FREEFORM;960580168
Brødrene Jacobsen Aut Rørleggerbedrift AS;967866032
Degree AS;997626079
Blåst AS;984573308
Studio Vestnes AS;913158881
Rosnes Produksjon AS;998190940
Rosnes Gårdsdrift AS;998304954
AS Scenario Interiørarkitekter MNIL;952636014
Gratangen Idrettslag;975419495
518 Steinerbarnehagen Rotnissen;986665773
Hildonens Transportservice AS;996760006
Holtet Bygg & Taksering AS;989081438
Årbogen Transport AS;987918012
Tota AS;911955598
Accountor Hamar AS;925947210
Norske Naturfotografer;995826178
VB Sykkylven Rør AS;930083305
Promal AS;993734977
Mouchiouse Music AS;914084466
Borettslaget Multebærholmen;990230099
Sb Produksjoner AS;997592646
Tannlegene Bergsdal og Skulbru AS;912250423
Advokatfirmaet Hienn AS;988350923
Norfloor Lofoten AS;998551609
Hårsveisen AS;981047168
Exciter AS;913472853
Galleri Ramfjord AS;993763233
Mjelva Invest AS;916497083
Ajour Regnskap Mandal AS;987209704
Fell Marine Holding AS;912860647
Vaxa Group AS;916523270
Fürst & Far Film og Fjernsyn AS;994698672
Arctic Rein og Vilt AS;912561259
Maskinentreprenør Kristian Kristiansen AS;982585058
Bodø Volley;891677812
Aag Trafikkskole AS;916497210
Geolofoten AS;985606633
Tytlandsvik Aqua AS;813837692
Hårstrået Frisør Narvik AS;915493157
Økonomibyrået A/S;926087703
Chang Leonard AS;916570422
Mandalitten Restaurantdrift AS;983149065
Lu Consult AS;912738418
Fauske IL Alpint;988936871
Rørleggerfirma VVS-Proffen AS;981580915
Nordvaranger Eiendom AS;993044059
Villa Eiendomsutvikling AS;996761916
Jlp Invest AS;999562728
TEMP Holding AS;916263074
Ájvan Økonomi AS;956781302
Grant Thornton Revisjon AS;987632380
Norway Designs AS;914813123
Sørjoh AS;916306962
Hotspur Holding AS;911712644
GN BYGG AS;916611145
Åbygg AS;917934436
Ole Liljebakk AS;983982964
Rimo Reklame AS;985024510
KBE Maskinutleie AS;923774688
Ballangen Autosenter AS;916061269
Bygger'n Boligservice AS;957508979
Boliginnrederne AS;983715737
GLASS I NOR Solskjerming AS;988325686
K Thorbergsen Mekaniske AS;990018472
Fagernesveien 4 AS;980965686
Fasade & Boligteknikk AS;996399567
Nordsalten Blikk AS;992829990
Berge Anlegg AS;997034112
Veteranmopeden.no Christian Westye Egeberg;969109689
thorir.photo AS;816561752
Kvito AS;971172207
FIRST Scandinavia Partner AS;996034534
Sparebank 1 Regnskapshuset Nord-Norge AS Avd Sortland;980455157
Pleyms Hvitevare Service;880706802
Folkehøgskolen Nord-Norge;963679157
Bjørn frisør AS;998469597
Centrum Eiendom AS;875792032
Marius Design AS;895745952
Proxima Eiendom AS;984086156
Tiva AS;989837680
Directa AS;992356898
Optimal Regnskap AS;986464492
Roy Hjelmeland;995606038
Grønt Vedlikehold AS;984633599
Norske Grafikere;971435828
Hundvåg Fysikalske Institutt AS;932757249
AS Glea;912009181
Maestro Eiendom AS;911806800
Meko Holding AS;997024966
Steigen Oljeservice A/S;948235757
Nordhealth Norway AS;882456412
Sanimalis AS-gammel klient;992132957
Hamarøy Vekst AS;991445749
Oddmund Groven AS;923627804
Vestsiden Tannlegekontor AS;912066258
Elda Foods AS;979889402
Amphibia AS;971590734
S.E.P. Consult AS;998362709
Havbåra AS;911894122
JONUS AS;998131669
Hygglo AS;916210264
Maleriet AS;980387984
Kikitepe AS;998896312
Manage AS;912737551
GRAVALID EIENDOM AS;921440626
A Capella AS;988777773
BB Montering AS;998322367
Norheim Regnskap AS;992932767
Nordisk Film & TV Fond;974349191
FIRST Scandinavia;982587190
Kran og Entreprenørtjenester AS;911912805
United Influencers Norway AS;912892220
Ptp Partner Eiendom AS;981648714
Essal HHD AS;916683898
Det Lille Kjøkken AS;966890134
Garage 15 AS;997594541
Frost Animation;988639702
Stranda Fjellgrend AS;998796938
Arth Norderhaug's Eftf AS;919332646
Mikalsen Film og Video;985435588
Opus Økonomi AS;922173478
Oasen Tannlege-Senter AS;897723662
Kystbutikken AS;891991312
Bygg og Tømrermester Jarle Sørensen;958167806
Ramberg Fisk AS;994492772
Ugedal Energi AS;988306665
Gusterud Bygg AS;996487857
Barnehagen Vier SA;985984247
Eidsvoll Eiendomsutvikling AS;999597599
Cadena AS;919827432
Pott og Panne AS;916548311
NN Regnskap AS;926441523
Narvik Flis og Ovnsmontasje AS;999627536
KG Consult Industriprodukter AS;936979505
NESO SA;947719068
Holmsnes Vannverk SA;992657960
Stiftelsen Human Rights Service HRS;985066302
Tributum AS;940964393
Beveren Sport;958869355
Lege Bernard Holthe AS;914817080
Tapebook AS;916672446
M. ELLINGSEN SKOGSDRIFT AS;916750382
INVENTECH AS;993769096
Ventura forlag AS;916708890
Nesset Spiseri AS;914836433
Treungenfestival AS;992567422
Frejan AS;992234547
T Havn AS;974432153
SusannaSonata AS;916612745
Motor & Marine Rotsund AS;991243542
Tore Audun Haugo, drosjeeigar;914015170
Knai & Knai AS;977298628
Sport 1 Hvittingfoss AS;983744745
Maskin-Invest AS;996741419
TK Betong og Grunn AS;816765552
Martin Freltofte Bygg;885413692
Helgeland Folkehøyskole;970946853
Langnesværing AS;999594689
Myreværing AS;912109356
Nord-Norge Eiendomsselskap AS;930962392
Alltidklar Hytteservice AS;993384437
Henry Hansen Optikk AS;976107209
Henry Hansen Eiendom AS;982150086
Bodø Andelslandbruk SA;911798778
Narvik Bilutleie A/S;951878863
Bm-Trading Eiendom Bjørn Martinsen AS;980398730
Arctic Chef AS;912172910
Henriksen Ventilasjon AS;914884748
Stene Johansen AS;998643511
RegnskapsTeam Hallingdal AS;980738787
Lift Me AS;925348589
Tango Hår og Terapi Jorun Margrete Alvær Hauge;975257665
Orkla Health Ocean AS;995073307
Moment Bygg AS;915837328
Evja Property AS;815497732
Siranee's Thaimat v/Siranee Upawong Viken;989699571
R HANSEN AS;816827922
Formula Leasing AS;915126847
Odin Entreprenørfirma AS;995285835
YTTEREN IDRETTSPARK EIENDOM AS;916763018
Buholmens Byggeselskap AS;951575003
Teamwork Norway AS;995811685
Stavset Consult AS;998040663
Kalle AS;961050316
Mortensen Kystfiske AS;998791782
Narvik Betongbrygger AS;998836883
Lillerovde Maskin AS;992105259
Nordfra AS;913667204
Miljø Container AS;915558097
Kronstad Eiendom AS;941729746
Høgebakken Eiendom AS;816572932
Bo I Gratangen AS;913917685
NONSPACE AS;932354551
Brandpeople AS;913664191
Sev. Dahl & Co AS;911108860
Agrolink AS;990046468
Blix Bygg AS;929880188
Park 34 AS;915338011
Vannkanten AS;896232762
Valle Eie AS;816360552
ECIT Viken AS avd Årnes;993800139
Vestfjord Brønnbåtservice AS;982961629
Myre Kystfiske AS;823422342
Økonomi og Konsulent Service AS;980015033
Essal FH AS;916558880
Tannlegen I Nesset AS;962399223
Vornes Kystfiske AS;998735211
Bilberging Troms AS;992801964
Vesterålen IKT AS;924913177
VIKT Consulting AS;994641603
Harald Johansen Eiendom AS;981337530
Joh Ludv Johansen Eiendom AS;979939949
A Josefsens Eftf AS;916885814
Vill & Vakker Medispa AS;992396342
Vestmar Regnskap AS;982913195
Fundanor AS;915411150
S. Thorbergsen Holding AS;989916513
Bjugn Bilservice AS;916727941
Niko Eiendom AS;994018175
Langseth Services AS (IKKE PARTNERKLIENTEN);994883291
Kjell Haver Regnskapsservice AS;947214489
Moen Graving og Utleie AS;915583075
NARVIK BOWLING OG LEKELAND AS;989958860
Tømmervikgruppen AS;943592691
AKS Frisør og Velvære AS;886040962
Hansja Maskin & Utleie Hans J Arntzen;883214072
Geoprovider AS;911712148
Iqon AS;997516699
Jorids Lefsebakeri AS;998547113
Benonisen Fiskeri AS;998510228
Mohr AS;996325660
Geo-42 AS;979897952
Geoprovider Seismic AS;997831918
Ingeniør Granberg AS;913580648
Advokatfirma Bjørn H. Larsen AS;989480669
Steig Transport AS;996086011
FRONT FRISØR SANDGATA AS;991430741
PU Fabrikken AS;916211627
Fuglefjellet AS;984285515
Trac Holding AS;996707644
Oa Trading;989767453
Fagernes Boligbygg AS;995516691
Eden Aquatech AS;914931118
Oddgeir Pettersen;989821865
Craig Alibone Chocolate AS;916171099
Feionor ANS;874496782
Brødrene Jobsen AS;919255994
Djupvikveien 15 AS;911913119
Hålogaland Eiendomsutvikling AS;980025616
Navidium AS (konkurs);916870345
Vestmarka Industribygg AS;915569293
Bil og Anleggssupport Drift AS;928978508
SILVANORD AS;916603371
Norske Grafikeres Fond;975506339
Monica Hellem Photography AS;916998341
Runelinvest AS;995496763
Adwice Sortland AS;888401652
Vesterålen Storkjøkkensenter AS;996256553
Møysalen Tannklinikk AS;988768529
A Great Idea AS;916945671
Ome Solutions AS;978647618
Hemnes Mek Verksted AS;976550420
Fagkonsulentene AS;916612672
Sandsøy Eiendom AS;916884427
Aner Holding AS;912295044
3a Eiendom 1 AS;912381226
3a Eiendom 2 AS;912381307
3a Eiendom 3 AS;912381277
3a Eiendom 4 AS;912755061
Aanerud Bakeri AS;883391322
To Bakere AS;915816614
NDS AS;921320787
JLK Offshore AS;916882424
ArcticTouch AS;914600650
Trond Olsen Mur & Flis AS;814084922
CUBE IT AS;914344484
Banktrollet barnehage SA;947839381
Slyngstad Eiendom AS;996276783
Nakholmen Vel;971282185
Dagh Consulting AS;916885830
Arctic Trial Racing AS;916997868
Bærum Mur og Flis AS;996980685
Fosenlast AS;970990534
ABK Teknikk AS;917095019
Bgh Invest AS;989132644
Salg og Servicepartner Eirik Michaelsen;983540384
Djupdalen Nedre Velforening;988455474
Vesterålen Hageservice-Rune Hansen;913452763
Narvik Foreldrelagsbarnehage SA;968349082
Fot & Helse AS;916847947
905 WV Eiendom AS;992361115
Ballstadværing AS;990034168
Straumværing AS;997597079
Nesodden Dyreklinikk AS;984246757
Norsenga Eiendom AS;992067357
Opplæringskontoret for Industrifag Innlandet;976504720
Fa Sápmi;913856406
iPhonelegen AS;917134693
Gmi Holding Gratangen AS;999014313
ANTI AS;816809932
Lia Maskin og Transport AS;919294922
Food Lounge AS;914389151
Kongensgate 24 Ålesund AS;994271954
Bygda 2.0 AS;997244346
GMV Service AS;917145806
Fusa Auto AS;913014030
Cutfab AS;917091358
No Pain No Gain AS;917070970
Magnar Nilsen Consulting AS;936025609
NorPro Bygg AS;914454131
Hemmingodden Lofoten Fishing Lodge AS;916273584
Grunn og Betong Bodø AS;986312161
Stokkøy Utbygging AS;884321832
Sev Dahl Invest AS;934040996
Sev. Dahl 1867 AS;987078278
Godfoten Fotterapi AS;914780659
Simplify AS;991375317
ARCTIC AVIATION AS;917195161
Sameiet Torghallen;983182615
Nord-Megler AS;999591450
Dino H AS;989034014
Reinert AS;917146594
Norsk Familieøkonomi Holding AS;987709227
HATS - Kompetansesenter for Revy og Teater;971494042
Follo Barnelege AS;993513938
Miwell Norge AS;917193452
ECIT Services AS avd Skjetten;993800139
ECIT Services AS avd Kongsberg;993800139
Vipcar AS;817156452
ECIT Normann & Øygarden AS;919495324
Sunshine Renhold AS;982734878
ECIT Services AS avd Fredrikstad;993800139
Magic North as;982009936
PowerOffice Time Testklient;980386465
Narvik Sjåførskole Roger Danielsen;916348797
FDVKONSULT AS;963240910
Sjøholt Tannklinikk AS;986041508
Frisikt IT AS;929694554
Networking AS;947817418
Prosjekt og Investeringspartner AS;916620721
Gloen Kb Invest AS;816655552
Ar Holding AS;917213895
Ekvatek AS;919726687
Sveinung Olsen;970075070
Narvik Composite AS;917219796
Teisten AS;917377766
FDVcompagniet AS;916336152
Oslo Idrettslag Svømming;983255388
Braathen & Partners AS;879738342
Nye Kjerringøy Rorbusenter AS;917234884
Rune Hilde Invest AS;989137336
Tingholmen Eiendom AS;925701572
Vadsø Rengjøring AS;977236487
Skalation AS;993569976
Steigen Investeringsselskap AS;916669313
Inprog API TEST;815043782
Brødrene Jacobsen Eiendom AS;996117375
Stall Bergan AS;981617770
Gamle Ilstad Gård AS;916155697
Dælengengt 24 AS;983043526
Stormyrveien 37 AS;919234814
Nordtro AS;929809556
Promotions.no AS;917439869
Frisørbua AS;987698772
Åsane Allianseidrettslag;965569928
Hans Kristian Stadheim Coaching og Trening;996447200
Aasum Bil AS;866754802
Granbuska barnehage - Sortland;971494050
Gudm Haugstvedt AS;847514582
E N Ediassen AS;911268469
Ecit Os AS;812830732
JR Service Narvik AS;915904874
Sagene Bryggeri AS;899541642
Storskjæret AS;916926014
Norsk Familieøkonomi AS;982069483
Stagegaard-Langklopp AS;997509781
YVIA;995373068
ECIT Services AS avd Bergen;993800139
Forfengeligheten AS;991033319
Toten Anlegg og Transport AS;979949642
Langvik Maskin AS;817372902
Store Elvegate 25 AS;912686086
Lofoten Glass AS;917427038
FDVhuset AS;883759702
TN Dekor AS;970918876
Valbjørn Eiendom AS;988816493
Stein Erik Stubmo;976505689
MJ MASKINSERVICE AS;917485097
Avon Live Nidaros AS;917400164
Nordtek AS;974473372
Alfa Økonomi AS;987774223
Sentrumsgården Eigedom AS;984718667
Alfateam AS;915361420
Huna Sand AS;987865245
Wærholm Økonomi AS;998455030
Ide Møbler Fauske AS;917338728
Hålandsdal Vekst SA;912186385
Wabi Sabi AS;915529224
T&R Haugen Maskin AS;812178792
Centrum - Tannklinikk AS;988383902
Rallarservice AS;916585756
Nordic Mobility AS;917513961
Chirita Betongrehabilitering AS;993230901
Lavik Dekkservice AS;920377777
Grovastøylen AS;994306618
Søstrene Lavik AS;916584911
DentalEstetics AS;916860315
ECIT Services AS avd Jessheim;993800139
Bønner i Byen AS;911833190
Tromsø Sosiale Entreprenørskap AS;816273242
Prosjektrådgiveren AS;996460673
Haki Mote AS;917257434
Zahlfjøsen AS;877465772
Fjordesign A/S;957232167
Caerus Architects AS;913406818
HårTuppan AS;996946088
Air-Product Norge AS;999156142
